"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D68,D63,D79,D70,D74,D39,D1,D87,D36,D17,D75,D43,D7,D81,D13,D53,D49,D50,D25,D31,D21,D78,D4,D61,D44,D18,D24,D51,D10,D28,D82,D38,D66,D58,D69,D23,D80,D16,D3,D41,D59,D8,D62,D12,D86,D40,D14,D56,D57,D26,D5,D35,D55,D83,D42,D72,D76,D32,D22,D2,D71,D64,D33,D46,D19,D84,D60,D9,D52,D30,D47,D85,D45,D29,D97,D20,D73,D15,D54,D65,D11,D67,D27,D37,D6,D77,D34,D48";"DIODE";88;"D";;;
2;"SW37,SW81,SW74,SW69,SW62,SW82,SW16,SW76,SW73,SW1,SW31,SW45,SW38,SW56,SW10,SW36,SW47,SW44,SW60,SW54,SW55,SW27,SW59,SW48,SW34,SW41,SW21,SW50,SW57,SW39,SW49,SW66,SW15,SW77,SW61,SW32,SW42,SW53,SW84,SW63,SW20,SW18,SW14,SW19,SW65,SW68,SW46,SW35,SW28,SW64,SW17,SW30,SW9,SW12,SW23,SW33,SW25,SW26,SW43,SW85,SW58,SW29,SW83,SW7,SW8,SW2,SW40,SW67,SW52,SW51,SW11,SW75";"SW_Cherry_MX_1.00u_PCB";72;"SW_Push_45deg";;;
3;"SW4";"SW_Cherry_MX_1.75u_PCB";1;"SW_Push_45deg";;;
4;"SW22,SW86,SW13,SW78,SW79,SW6,SW89";"SW_Cherry_MX_1.25u_PCB";7;"SW_Push_45deg";;;
5;"SW90";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
6;"SW72";"SW_Cherry_MX_2.75u_PCB";1;"SW_Push_45deg";;;
7;"SW5,SW71";"SW_Cherry_MX_2.25u_PCB";2;"SW_Push_45deg";;;
8;"SW80,SW3";"SW_Cherry_MX_1.50u_PCB";2;"SW_Push_45deg";;;
9;"SW24";"SW_Cherry_MX_2.00u_PCB";1;"SW_Push_45deg";;;
10;"SW70";"SW_Cherry_MX_6.25u_PCB";1;"SW_Push_45deg";;;
11;"A1";"RaspberryPi_Pico_Common_Unspecified";1;"RaspberryPi_Pico";;;
